species_sci,wcvp_matched_name,wcvp_status,accepted_name,accepted_authors,accepted_family,accepted_genus,accepted_rank,powo_id,powo_match_type
Gypsophila perfoliata L.,Gypsophila perfoliata L.,Accepted,Gypsophila perfoliata,L.,Caryophyllaceae,Gypsophila,Species,154569-1,exact_full
Gypsophila pilosa Huds.,Gypsophila pilosa Huds.,Accepted,Gypsophila pilosa,Huds.,Caryophyllaceae,Gypsophila,Species,60463389-2,exact_full
Gypsophila spathulifolia Fenzl,Gypsophila spathulifolia Fenzl,Accepted,Gypsophila spathulifolia,Fenzl,Caryophyllaceae,Gypsophila,Species,154635-1,exact_full
Gypsophila vedeneevae Lepeschk. ex Botsch. & Vved.,Gypsophila vedeneevae Lepeschk. ex Botsch. & Vved.,Accepted,Gypsophila vedeneevae,Lepeschk. ex Botsch. & Vved.,Caryophyllaceae,Gypsophila,Species,978234-1,exact_full
Halerpestes sarmentosa (Adams) Kom.,Halerpestes sarmentosa (Adams) Kom.,Accepted,Halerpestes sarmentosa,(Adams) Kom.,Ranunculaceae,Halerpestes,Species,711256-1,exact_full
Halimiphyllum atriplicoides (Fisch. & C.A. Mey.) Boriss.,Halimiphyllum atriplicoides (Fisch. & C.A.Mey.) Boriss.,Synonym,Zygophyllum atriplicoides,Fisch. & C.A.Mey.,Zygophyllaceae,Zygophyllum,Species,873508-1,exact_full
Halimiphyllum eurypterum (Boiss. & Buhse) Boriss.,Halimiphyllum eurypterum (Boiss. & Buhse) Boriss.,Synonym,Zygophyllum atriplicoides subsp. eurypterum,(Boiss. & Buhse) Popov,Zygophyllaceae,Zygophyllum,Subspecies,77252475-1,exact_full
Halimocnemis beresinii Iljin,Halimocnemis beresinii Iljin,Accepted,Halimocnemis beresinii,Iljin,Amaranthaceae,Halimocnemis,Species,165660-1,exact_full
Halimocnemis glaberrima Iljin,Halimocnemis glaberrima Iljin,Accepted,Halimocnemis glaberrima,Iljin,Amaranthaceae,Halimocnemis,Species,165669-1,exact_full
Halimocnemis karelinii Moq.,Halimocnemis karelinii Moq.,Accepted,Halimocnemis karelinii,Moq.,Amaranthaceae,Halimocnemis,Species,165675-1,exact_full
Halimocnemis lasiantha Iljin,Halimocnemis lasiantha Iljin,Accepted,Halimocnemis lasiantha,Iljin,Amaranthaceae,Halimocnemis,Species,165680-1,exact_full
Halimocnemis latifolia Iljin,Halimocnemis latifolia Iljin,Accepted,Halimocnemis latifolia,Iljin,Amaranthaceae,Halimocnemis,Species,165681-1,exact_full
Halimocnemis longifolia Bunge,Halimocnemis longifolia Bunge,Accepted,Halimocnemis longifolia,Bunge,Amaranthaceae,Halimocnemis,Species,165682-1,exact_full
Halimocnemis macranthera Bunge,Halimocnemis macranthera Bunge,Synonym,Halimocnemis macrantha,Bunge,Amaranthaceae,Halimocnemis,Species,165684-1,exact_full
Halimocnemis mollissima Bunge,Halimocnemis mollissima Bunge,Accepted,Halimocnemis mollissima,Bunge,Amaranthaceae,Halimocnemis,Species,165691-1,exact_full
Halimocnemis pilifera Moq.,Halimocnemis pilifera Moq.,Accepted,Halimocnemis pilifera,Moq.,Amaranthaceae,Halimocnemis,Species,165697-1,ambiguous_same_target
Halimocnemis sclerosperma (Pall.) C.A. Mey.,Halimocnemis sclerosperma (Pall.) C.A.Mey.,Accepted,Halimocnemis sclerosperma,(Pall.) C.A.Mey.,Amaranthaceae,Halimocnemis,Species,165707-1,exact_full
Halimocnemis smirnowii Bunge,Halimocnemis smirnowii Bunge,Accepted,Halimocnemis smirnowii,Bunge,Amaranthaceae,Halimocnemis,Species,165709-1,exact_full
