lotincha_nom,qoraqalpoqcha_nom,manba
Potamogeton pectinatus L.,шаланг,Ережепов 1978
Potamogeton perfoliatus L.,шаланг,Ережепов 1978
Psammogeton borszczovii (Rgl. et Schmalh.) Lipsky,зра,Ережепов 1978
Psammogeton setifolium (Boiss.) Boiss.,зра,Ережепов 1978
Ranunculus platyspermus Fisch. ex DC.,штыр,Ережепов 1978
Ranunculus sceleratus L.,штыр,Ережепов 1978
Rheum tataricum L.,"жапрак, туиежапрак, туе жапрак",Ережепов 1978 + Шербаев 1988
Rheum turkestanicum Janisch.,"жапрак, туйэжапрак, туе жапрак",Ережепов 1978 + Шербаев 1988
Rochelia macrocalyx Bunge,жабыскакшоп,Ережепов 1978
Roemeria hibrida (L.) DC.,кызгалдак,Шербаев 1988
Roemeria refracta DC.,"кизгалдак, кызгалдак",Ережепов 1978 + Шербаев 1988
Rosa damascena Mill.,атиргуль,Шербаев 1988
Rubia tinctorum L.,уайранбояу,Ережепов 1978 + Шербаев 1988
Salix alba L.,ак тал,Шербаев 1988
Salix excelsa S.G.Gmel.,узынтал,Шербаев 1988
Salix linearifolia E. Wolf.,"наруан тал, ук тал",Шербаев 1988
Salix songarica Anders.,"тал, ешки тал, жэнеуттал, тогай тал",Ережепов 1978 + Шербаев 1988
Salix wilhelmsiana Bieb.,"шгыртал, уйтал, шыгыртал, уи тал",Ережепов 1978 + Шербаев 1988
Salsola arbuscula Pall.,боялыш,Ережепов 1978 + Шербаев 1988
Salsola arbusculiformis Drob.,"боялыш, карабоялыш",Ережепов 1978 + Шербаев 1988
Salsola crassa Bieb.,балыккоз,Ережепов 1978
Salsola dendroides Pall.,"сора, аксар",Ережепов 1978 + Шербаев 1988
Salsola iberica Sennen et Pau,туекарын,Ережепов 1978
Salsola implicata Botsch.,ебелек,Ережепов 1978
Salsola laricifolia Turcz. ex Litv.,боялыш,Ережепов 1978
Salsola micranthera Botsch.,аксар,Ережепов 1978
Salsola orientalis S. G. Gmel.,"кейреук, куиревик",Ережепов 1978 + Шербаев 1988
Salsola paletzkiana Litv.,"черкез, кара черкез",Ережепов 1978 + Шербаев 1988
Salsola paulsenii Litv.,туекарын,Ережепов 1978
Salsola richteri (Moq.) Kar. et Litv.,черкез,Ережепов 1978 + Шербаев 1988
Schoenoplectus littoralis (Schrad.) Palla,донгызоленг,Ережепов 1978
Schoenoplectus tabernaemontani (Gmel.) Palla,донгызоленг,Ережепов 1978
Schumannia karelinii (Bunge) Eug. Kor.,косик,Ережепов 1978
Scirpus tabernaemontani C.C.Gmel.,каракога,Шербаев 1988
Sclerosiphon songaricum (Schrenk.) Nevski,курткашаш,Ережепов 1978 + Шербаев 1988
Scorzonera circumflexa Krasch.,коянтобык,Ережепов 1978
Scorzonera gageoides Boiss.,коянтобык,Ережепов 1978
Scorzonera pusilla Pall.,коянтобык,Шербаев 1988
Scorzonera sericeolanata Krasch. et Lipsch.,коянтобык,Ережепов 1978
Secale silvestre Host.,"жабайысулы, жабайы сулы",Ережепов 1978 + Шербаев 1988
Senecio noeanus Rupr.,сарыгул,Шербаев 1988
Senecio subdentatus Ledeb.,сарыбасшоп,Ережепов 1978
Setaria glauca (L.) Beauv.,пшыккуйрык,Ережепов 1978
Setaria verticillata (L.) Beauv.,"пшыккуйрык, пышыккуйдык",Ережепов 1978 + Шербаев 1988
Setaria viridis (L.) Beauv.,пшыккуйрык,Ережепов 1978
Smirnovia turkestana Bunge,партылдаук,Ережепов 1978
Smirnowia turkestana Bunge,кумпартылдауык,Шербаев 1988
Solanum nigrum L.,итжузим,Ережепов 1978
Solanum olgae Pojark.,итжузим,Ережепов 1978
Sonchus asper Hill.,шайпашек,Ережепов 1978
Sophora lehmannii Bunge,сасыкшоп,Ережепов 1978
Sorghum halepense (L.) Pers.,гумай,Ережепов 1978
Sorgum bicolor (L.) Moench,"жасымык жууери, найман жууери",Шербаев 1988
Sorgum cernuum (Ard.) Host,бои жууери,Шербаев 1988
Sorgum halepense (L.) Pers.,"гумай, джонсоновая трава кумай",Шербаев 1988
Sorgum sudanense (Piper) Stapf,судан оты,Шербаев 1988
Sphaerophysa salsula (Pall.) DC.,"партылдаук, партылдауык",Ережепов 1978 + Шербаев 1988
Stipa aktauensis Roshev.,аигыржал,Ережепов 1978
Stipa arabica Trin et Rupr.,аигыржал,Ережепов 1978
Stipa bella Drob.,айтыржал,Ережепов 1978
Stipa capillata L.,тырса,Шербаев 1988
Stipa hohenackeriana Trin. et Rupr.,айгыржал,Ережепов 1978
Stipa korshinskyi Roshev.,айгыржал,Ережепов 1978
Stipa spiridonovii Roshev.,айгыржал,Ережепов 1978
Stipagrostis karelinii (Trin. et Rupr.) Tzvel.,"нарселеу, селеу, еркек",Ережепов 1978 + Шербаев 1988
Stipagrostis pennata Winter Trin,"ургашыселеу, ургашы селеу, ак селеу",Ережепов 1978 + Шербаев 1988
Stipagrostis plumosa (L.) Munro ex T.Anders.,майда селеу,Шербаев 1988
Strigosella africana (L.) Botsch.,шытыр,Шербаев 1988
Suaeda altissima (L.) Pall.,карасора,Ережепов 1978
Suaeda linifolia Pall.,карасора,Ережепов 1978
Suaeda paradoxa (Bunge),карасора,Ережепов 1978
Suaeda prostrata Pall.,сора,Ережепов 1978
Tamarix androssovii Litv.,жингыл,Ережепов 1978
Tamarix bungei Boiss.,жингыл,Ережепов 1978
Tamarix elongata Ledeb.,"жингыл, ерманы жынгыл",Ережепов 1978 + Шербаев 1988
Tamarix florida Bunge,жингыл,Ережепов 1978
Tamarix hispida Willd.,"ерманыжингыл, ак жынгыл",Ережепов 1978 + Шербаев 1988
Tamarix hohenackeri Bunge,жингыл,Ережепов 1978
Tamarix laxa Willd.,"жингыл, тышкак жынгыл",Ережепов 1978 + Шербаев 1988
Tamarix leptostachys Bunge,жингыл,Ережепов 1978
Tamarix litvinovii Gorschk.,жингыл,Ережепов 1978
Tamarix ramosissima Ledeb.,"кзылжингыл, урпекоас жынгыл",Ережепов 1978 + Шербаев 1988
Tamarix smirnensis Bunge,жынгыл,Шербаев 1988
Torularia torulosa (Desf.) O. E. Schulz,штыр,Ережепов 1978
Tournefortia sibirica L.,тасбакажуери,Ережепов 1978
